fecha,p_mes,tm_min,ta_max,ta_min,p_mes,n_llu,tm_mes,tm_max,tm_min
1985,511.7,10.4,33.529,-7.216,511.7,90.9090909090909,15.1,19.8,10.4
1986,571.2,10.6,33.518,-1.61,571.2,92.0,15.4,20.1,10.6
1987,984.8,11.1,32.515,-3.52,984.8,100.0,15.6,20.1,11.1
1988,426.0,10.7,32.403,-1.527,426.0,88.0,15.7,20.7,10.7
1989,573.2,11.8,32.622,0.801,573.2,102.0,16.4,21.0,11.8
1990,684.2,12.4,33.803,0.012,684.2,84.0,16.7,20.9,12.4
1991,628.0,10.5,30.021,-0.815,628.0,99.0,14.9,19.3,10.5
1992,534.7,10.4,31.603,-1.621,534.7,104.0,14.8,19.1,10.4
1993,695.8,10.5,32.02,-1.425,695.8,97.0,14.8,19.1,10.5
1994,561.4,12.7,34.011,0.223,561.4,78.0,16.8,20.9,12.7
1995,536.1,12.7,32.412,0.405,536.1,113.0,16.6,20.5,12.7
1996,1025.5,12.4,32.624,-1.021,1025.5,133.0,16.2,19.9,12.4
1997,456.8,13.2,31.414,2.807,456.8,85.0,17.0,20.8,13.2
1998,501.7,12.6,32.011,1.426,501.7,81.0,16.8,21.0,12.6
1999,385.2,12.6,32.308,-0.201,385.2,83.0,16.7,20.8,12.6
2000,404.6,12.1,34.024,1.023,404.6,91.0,16.1,20.0,12.1
2001,474.9,11.5,30.23,-3.625,474.9,74.0,15.3,19.1,11.5
2002,773.3,11.6,30.309,1.617,773.3,96.0,15.7,19.7,11.6
2003,651.6,13.2,37.313,-1.113,651.6,88.0,17.4,21.7,13.2
2004,507.5,13.1,34.012,-0.201,507.5,92.0,17.2,21.2,13.1
2005,581.0,12.5,34.928,-1.529,581.0,97.0,16.5,20.4,12.5
2006,361.6,13.3,33.523,0.228,361.6,82.0,17.4,21.4,13.3
2007,534.6,12.6,31.815,-1.218,534.6,83.0,16.9,21.1,12.6
2008,509.5,12.3,32.105,-0.102,509.5,107.0,16.5,20.5,12.3
2009,565.7342857142858,12.6,35.62,-2.72,565.7342857142858,90.9090909090909,16.7,20.8,12.6
2010,565.7342857142858,11.7,37.427,-2.027,565.7342857142858,90.9090909090909,15.8,19.9,11.7
2011,700.2,13.0,33.021,-3.324,700.2,89.0,17.2,21.4,13.0
2012,446.2,12.8,34.02,-3.505,446.2,84.0,17.0,21.2,12.8
2013,590.4,13.1,33.028,0.723,590.4,93.0,16.9,20.7,13.1
2014,565.7342857142858,12.366666666666667,33.16527777777778,-0.6669166666666667,565.7342857142858,90.9090909090909,16.525,20.63888888888889,12.366666666666667
2015,323.9,13.6,33.005,0.506,323.9,70.0,17.5,21.4,13.6
2016,406.9,13.6,31.804,1.417,406.9,90.9090909090909,17.5,21.3,13.6
2017,353.7,13.5,34.303,-0.618,353.7,81.0,17.6,21.6,13.5
2018,753.4,13.9,37.004,0.609,753.4,110.0,17.8,21.6,13.9
2019,672.8,13.4,35.029,1.311,672.8,80.0,17.5,21.5,13.4
2020,1012.5,13.6,32.101,2.327,1012.5,86.0,17.6,21.5,13.6
2021,334.0,13.6,32.515,-0.506,334.0,82.0,17.3,21.0,13.6
2022,331.8,12.366666666666667,33.16527777777778,-0.6669166666666667,331.8,76.0,16.525,20.63888888888889,12.366666666666667
